Numero_Proceso,Tiempo_Inicio,Tiempo_Final
1,201.0,201.33333333333331
2,207.33333333333331,207.66666666666663
3,213.66666666666663,214.99999999999994
4,220.99999999999994,221.33333333333326
5,227.33333333333326,227.66666666666657
6,233.66666666666657,233.9999999999999
7,239.9999999999999,240.3333333333332
8,246.3333333333332,246.66666666666652
9,252.66666666666652,252.99999999999983
10,258.99999999999983,259.3333333333332
11,265.3333333333332,265.6666666666666
12,271.6666666666666,271.99999999999994
13,277.99999999999994,278.3333333333333
14,284.3333333333333,285.6666666666667
15,291.6666666666667,292.00000000000006
16,298.00000000000006,298.3333333333334
17,304.3333333333334,304.6666666666668
18,310.6666666666668,311.00000000000017
19,317.00000000000017,317.33333333333354
20,323.33333333333354,323.6666666666669
21,329.6666666666669,330.0000000000003
22,336.0000000000003,336.33333333333366
23,342.33333333333366,342.666666666667
24,348.666666666667,349.0000000000004
25,355.0000000000004,355.33333333333377
