Numero_Proceso,Tiempo_Inicio,Tiempo_Final
1,0,3
2,8,9
3,14,15
4,20,21
5,26,27
6,32,36
7,41,44
8,49,50
9,55,59
10,64,67
11,72,75
12,80,84
13,89,90
14,95,99
15,104,105
16,110,113
17,118,119
18,124,127
19,132,133
20,138,141
21,146,150
22,155,156
23,161,164
24,169,171
25,176,181
