Numero_Proceso,Tiempo_Inicio,Tiempo_Final
1,0,1
2,2,3
3,4,6
4,7,11
5,12,13
6,14,15
7,16,20
8,21,22
9,23,27
10,28,31
11,32,36
12,37,38
13,39,41
14,42,44
15,45,48
16,49,50
17,51,53
18,54,55
19,56,58
20,59,60
21,61,62
22,63,64
23,65,67
24,68,71
25,72,76
