Numero_Proceso,Tiempo_Inicio,Tiempo_Final
1,0,2.0
2,3.0,5.0
3,6.0,8.0
4,9.0,11.0
5,12.0,14.0
6,15.0,17.0
7,18.0,20.0
8,21.0,23.0
9,24.0,26.0
10,27.0,29.0
11,30.0,32.0
12,33.0,35.0
13,36.0,38.0
14,39.0,41.0
15,42.0,44.0
16,45.0,47.0
17,48.0,50.0
18,51.0,53.0
19,54.0,56.0
20,57.0,59.0
21,60.0,62.0
22,63.0,65.0
23,66.0,68.0
24,69.0,71.0
25,72.0,74.0
26,75.0,77.0
27,78.0,80.0
28,81.0,83.0
29,84.0,86.0
30,87.0,89.0
31,90.0,92.0
32,93.0,95.0
33,96.0,98.0
34,99.0,101.0
35,102.0,104.0
36,105.0,107.0
37,108.0,110.0
38,111.0,113.0
39,114.0,116.0
40,117.0,119.0
41,120.0,122.0
42,123.0,125.0
43,126.0,128.0
44,129.0,131.0
45,132.0,135.0
46,136.0,138.0
47,139.0,141.0
48,142.0,144.0
49,145.0,147.0
50,148.0,150.0
