Numero_Proceso,Tiempo_Inicio,Tiempo_Final
1,0,1
2,7,8
3,14,15
4,21,24
5,30,31
6,37,39
7,45,48
8,54,58
9,64,67
10,73,76
11,82,85
12,91,92
13,98,99
14,105,108
15,114,116
16,122,126
17,132,134
18,140,141
19,147,149
20,155,158
21,164,165
22,171,172
23,178,181
24,187,188
25,194,195
26,201,204
27,210,212
28,218,219
29,225,227
30,233,235
31,241,245
32,251,253
33,259,262
34,268,271
35,277,279
36,285,286
37,292,294
38,300,304
39,310,311
40,317,319
41,325,327
42,333,336
43,342,345
44,351,353
45,359,360
46,366,367
47,373,375
48,381,384
49,390,392
50,398,401
51,407,408
52,414,415
53,421,424
54,430,432
55,438,441
56,447,450
57,456,457
58,463,465
59,471,472
60,478,480
61,486,490
62,496,497
63,503,507
64,513,515
65,521,524
66,530,535
67,541,544
68,550,552
69,558,559
70,565,568
71,574,576
72,582,583
73,589,592
74,598,601
75,607,609
76,615,616
77,622,624
78,630,633
79,639,640
80,646,649
81,655,657
82,663,666
83,672,673
84,679,681
85,687,690
86,696,699
87,705,709
88,715,717
89,723,724
90,730,731
91,737,741
92,747,748
93,754,756
94,762,765
95,771,772
96,778,779
97,785,788
98,794,797
99,803,807
100,813,815
101,821,823
102,829,833
103,839,841
104,847,849
105,855,857
106,863,865
107,871,872
108,878,881
109,887,889
110,895,897
111,903,904
112,910,913
113,919,920
114,926,927
115,933,934
116,940,941
117,947,948
118,954,956
119,962,963
120,969,972
121,978,980
122,986,988
123,994,997
124,1003,1006
125,1012,1013
126,1019,1022
127,1028,1030
128,1036,1038
129,1044,1045
130,1051,1053
131,1059,1062
132,1068,1069
133,1075,1077
134,1083,1086
135,1092,1097
136,1103,1106
137,1112,1114
138,1120,1122
139,1128,1131
140,1137,1141
141,1147,1150
142,1156,1160
143,1166,1168
144,1174,1176
145,1182,1183
146,1189,1191
147,1197,1200
148,1206,1207
149,1213,1217
150,1223,1224
151,1230,1233
152,1239,1244
153,1250,1252
154,1258,1262
155,1268,1273
156,1279,1281
157,1287,1290
158,1296,1297
159,1303,1306
160,1312,1313
161,1319,1321
162,1327,1328
163,1334,1336
164,1342,1344
165,1350,1351
166,1357,1359
167,1365,1366
168,1372,1374
169,1380,1382
170,1388,1391
171,1397,1399
172,1405,1407
173,1413,1414
174,1420,1422
175,1428,1431
176,1437,1439
177,1445,1448
178,1454,1456
179,1462,1464
180,1470,1472
181,1478,1481
182,1487,1488
183,1494,1499
184,1505,1507
185,1513,1516
186,1522,1523
187,1529,1531
188,1537,1539
189,1545,1548
190,1554,1557
191,1563,1566
192,1572,1574
193,1580,1583
194,1589,1591
195,1597,1600
196,1606,1609
197,1615,1616
198,1622,1623
199,1629,1631
200,1637,1639
