Numero_Proceso,Tiempo_Inicio,Tiempo_Final
1,0,2
2,8,10
3,16,18
4,24,26
5,32,33
6,39,42
7,48,50
8,56,58
9,64,67
10,73,74
11,80,82
12,88,89
13,95,96
14,102,104
15,110,113
16,119,120
17,126,127
18,133,137
19,143,146
20,152,155
21,161,163
22,169,171
23,177,179
24,185,187
25,193,196
26,202,203
27,209,212
28,218,221
29,227,228
30,234,235
31,241,243
32,249,253
33,259,260
34,266,267
35,273,274
36,280,281
37,287,288
38,294,296
39,302,304
40,310,311
41,317,318
42,324,327
43,333,334
44,340,342
45,348,351
46,357,360
47,366,369
48,375,378
49,384,386
50,392,394
51,400,402
52,408,411
53,417,420
54,426,428
55,434,435
56,441,444
57,450,452
58,458,459
59,465,466
60,472,475
61,481,483
62,489,493
63,499,500
64,506,509
65,515,517
66,523,527
67,533,536
68,542,543
69,549,550
70,556,558
71,564,566
72,572,575
73,581,582
74,588,590
75,596,600
76,606,609
77,615,617
78,623,626
79,632,635
80,641,644
81,650,651
82,657,659
83,665,667
84,673,674
85,680,682
86,688,691
87,697,699
88,705,708
89,714,715
90,721,723
91,729,730
92,736,737
93,743,746
94,752,757
95,763,765
96,771,772
97,778,779
98,785,786
99,792,795
100,801,804
101,810,814
102,820,824
103,830,834
104,840,841
105,847,851
106,857,859
107,865,866
108,872,875
109,881,883
110,889,892
111,898,899
112,905,906
113,912,915
114,921,926
115,932,935
116,941,945
117,951,952
118,958,959
119,965,967
120,973,975
121,981,984
122,990,994
123,1000,1003
124,1009,1013
125,1019,1023
126,1029,1032
127,1038,1040
128,1046,1047
129,1053,1054
130,1060,1061
131,1067,1070
132,1076,1079
133,1085,1088
134,1094,1096
135,1102,1105
136,1111,1114
137,1120,1121
138,1127,1128
139,1134,1136
140,1142,1144
141,1150,1155
142,1161,1164
143,1170,1171
144,1177,1178
145,1184,1187
146,1193,1196
147,1202,1203
148,1209,1210
149,1216,1220
150,1226,1228
