Numero_Proceso,Tiempo_Inicio,Tiempo_Final
1,0,2
2,7,10
3,15,17
4,22,27
5,32,34
6,39,41
7,46,48
8,53,57
9,62,65
10,70,71
11,76,77
12,82,84
13,89,92
14,97,100
15,105,108
16,113,116
17,121,123
18,128,131
19,136,137
20,142,145
21,150,153
22,158,160
23,165,167
24,172,173
25,178,182
26,187,191
27,196,199
28,204,206
29,211,215
30,220,221
31,226,227
32,232,233
33,238,239
34,244,248
35,253,255
36,260,261
37,266,269
38,274,277
39,282,285
40,290,291
41,296,298
42,303,306
43,311,314
44,319,321
45,326,328
46,333,334
47,339,342
48,347,349
49,354,357
50,362,364
51,369,371
52,376,378
53,383,386
54,391,392
55,397,400
56,405,406
57,411,412
58,417,419
59,424,426
60,431,433
61,438,439
62,444,445
63,450,452
64,457,459
65,464,465
66,470,472
67,477,480
68,485,488
69,493,496
70,501,503
71,508,510
72,515,517
73,522,525
74,530,531
75,536,539
76,544,547
77,552,553
78,558,559
79,564,566
80,571,572
81,577,581
82,586,589
83,594,597
84,602,604
85,609,612
86,617,620
87,625,626
88,631,632
89,637,639
90,644,645
91,650,651
92,656,659
93,664,665
94,670,671
95,676,678
96,683,686
97,691,692
98,697,699
99,704,705
100,710,711
101,716,718
102,723,725
103,730,732
104,737,740
105,745,748
106,753,756
107,761,764
108,769,771
109,776,778
110,783,786
111,791,794
112,799,801
113,806,809
114,814,817
115,822,823
116,828,829
117,834,835
118,840,843
119,848,850
120,855,858
121,863,866
122,871,875
123,880,882
124,887,890
125,895,896
126,901,905
127,910,914
128,919,921
129,926,929
130,934,936
131,941,943
132,948,950
133,955,956
134,961,963
135,968,971
136,976,979
137,984,987
138,992,994
139,999,1001
140,1006,1009
141,1014,1015
142,1020,1022
143,1027,1028
144,1033,1035
145,1040,1041
146,1046,1047
147,1052,1053
148,1058,1061
149,1066,1067
150,1072,1074
151,1079,1082
152,1087,1088
153,1093,1095
154,1100,1102
155,1107,1108
156,1113,1114
157,1119,1122
158,1127,1132
159,1137,1138
160,1143,1146
161,1151,1154
162,1159,1161
163,1166,1169
164,1174,1176
165,1181,1182
166,1187,1190
167,1195,1198
168,1203,1206
169,1211,1215
170,1220,1222
171,1227,1231
172,1236,1239
173,1244,1245
174,1250,1254
175,1259,1263
176,1268,1269
177,1274,1280
178,1285,1287
179,1292,1295
180,1300,1301
181,1306,1307
182,1312,1313
183,1318,1319
184,1324,1327
185,1332,1336
186,1341,1344
187,1349,1353
188,1358,1361
189,1366,1368
190,1373,1376
191,1381,1384
192,1389,1390
193,1395,1396
194,1401,1404
195,1409,1411
196,1416,1417
197,1422,1425
198,1430,1432
199,1437,1441
200,1446,1450
