Numero_Proceso,Tiempo_Inicio,Tiempo_Final
1,0,2.0
2,3.0,5.0
3,6.0,8.0
4,9.0,11.0
5,12.0,14.0
6,15.0,17.0
7,18.0,20.0
8,21.0,23.0
9,24.0,26.0
10,27.0,29.0
11,30.0,32.0
12,33.0,35.0
13,36.0,38.0
14,39.0,41.0
15,42.0,44.0
16,45.0,47.0
17,48.0,51.0
18,52.0,54.0
19,55.0,57.0
20,58.0,60.0
21,61.0,63.0
22,64.0,66.0
23,67.0,69.0
24,70.0,72.0
25,73.0,75.0
26,76.0,78.0
27,79.0,81.0
28,82.0,84.0
29,85.0,87.0
30,88.0,90.0
31,91.0,93.0
32,94.0,96.0
33,97.0,99.0
34,100.0,102.0
35,103.0,105.0
36,106.0,108.0
37,109.0,111.0
38,112.0,114.0
39,115.0,117.0
40,118.0,120.0
41,121.0,123.0
42,124.0,126.0
43,127.0,129.0
44,130.0,132.0
45,133.0,135.0
46,136.0,139.0
47,140.0,142.0
48,143.0,145.0
49,146.0,148.0
50,149.0,151.0
51,152.0,154.0
52,155.0,157.0
53,158.0,160.0
54,161.0,163.0
55,164.0,166.0
56,167.0,169.0
57,170.0,172.0
58,173.0,175.0
59,176.0,178.0
60,179.0,181.0
61,182.0,184.0
62,185.0,187.0
63,188.0,190.0
64,191.0,193.0
65,194.0,196.0
66,197.0,199.0
67,200.0,202.0
68,203.0,205.0
69,206.0,208.0
70,209.0,211.0
71,212.0,214.0
72,215.0,217.0
73,218.0,221.0
74,222.0,224.0
75,225.0,227.0
76,228.0,230.0
77,231.0,233.0
78,234.0,236.0
79,237.0,239.0
80,240.0,242.0
81,243.0,245.0
82,246.0,248.0
83,249.0,251.0
84,252.0,254.0
85,255.0,257.0
86,258.0,260.0
87,261.0,263.0
88,264.0,266.0
89,267.0,269.0
90,270.0,272.0
91,273.0,275.0
92,276.0,278.0
93,279.0,281.0
94,282.0,284.0
95,285.0,287.0
96,288.0,290.0
97,291.0,293.0
98,294.0,296.0
99,297.0,299.0
100,300.0,302.0
