Numero_Proceso,Tiempo_Inicio,Tiempo_Final
1,0,2.0
2,3.0,5.0
3,6.0,8.0
4,9.0,11.0
5,12.0,14.0
6,15.0,17.0
7,18.0,20.0
8,21.0,23.0
9,24.0,26.0
10,27.0,29.0
11,30.0,32.0
12,33.0,35.0
13,36.0,38.0
14,39.0,41.0
15,42.0,44.0
16,45.0,47.0
17,48.0,50.0
18,51.0,53.0
19,54.0,56.0
20,57.0,59.0
21,60.0,62.0
22,63.0,65.0
23,66.0,68.0
24,69.0,71.0
25,72.0,74.0
26,75.0,77.0
27,78.0,80.0
28,81.0,83.0
29,84.0,86.0
30,87.0,89.0
31,90.0,92.0
32,93.0,95.0
33,96.0,99.0
34,100.0,102.0
35,103.0,105.0
36,106.0,108.0
37,109.0,111.0
38,112.0,114.0
39,115.0,117.0
40,118.0,120.0
41,121.0,123.0
42,124.0,126.0
43,127.0,129.0
44,130.0,132.0
45,133.0,135.0
46,136.0,138.0
47,139.0,141.0
48,142.0,144.0
49,145.0,147.0
50,148.0,150.0
51,151.0,153.0
52,154.0,156.0
53,157.0,159.0
54,160.0,162.0
55,163.0,165.0
56,166.0,168.0
57,169.0,171.0
58,172.0,174.0
59,175.0,177.0
60,178.0,180.0
61,181.0,183.0
62,184.0,186.0
63,187.0,189.0
64,190.0,192.0
65,193.0,195.0
66,196.0,198.0
67,199.0,201.0
68,202.0,205.0
69,206.0,208.0
70,209.0,211.0
71,212.0,214.0
72,215.0,217.0
73,218.0,220.0
74,221.0,223.0
75,224.0,226.0
76,227.0,230.0
77,231.0,233.0
78,234.0,236.0
79,237.0,239.0
80,240.0,242.0
81,243.0,245.0
82,246.0,248.0
83,249.0,252.0
84,253.0,255.0
85,256.0,258.0
86,259.0,261.0
87,262.0,264.0
88,265.0,267.0
89,268.0,271.0
90,272.0,274.0
91,275.0,277.0
92,278.0,280.0
93,281.0,283.0
94,284.0,286.0
95,287.0,289.0
96,290.0,292.0
97,293.0,295.0
98,296.0,298.0
99,299.0,301.0
100,302.0,304.0
101,305.0,307.0
102,308.0,310.0
103,311.0,313.0
104,314.0,316.0
105,317.0,319.0
106,320.0,322.0
107,323.0,325.0
108,326.0,329.0
109,330.0,332.0
110,333.0,335.0
111,336.0,338.0
112,339.0,341.0
113,342.0,344.0
114,345.0,347.0
115,348.0,351.0
116,352.0,354.0
117,355.0,357.0
118,358.0,360.0
119,361.0,363.0
120,364.0,366.0
121,367.0,369.0
122,370.0,372.0
123,373.0,375.0
124,376.0,378.0
125,379.0,381.0
126,382.0,384.0
127,385.0,387.0
128,388.0,391.0
129,392.0,394.0
130,395.0,397.0
131,398.0,400.0
132,401.0,403.0
133,404.0,406.0
134,407.0,409.0
135,410.0,412.0
136,413.0,415.0
137,416.0,418.0
138,419.0,421.0
139,422.0,424.0
140,425.0,427.0
141,428.0,430.0
142,431.0,433.0
143,434.0,436.0
144,437.0,439.0
145,440.0,442.0
146,443.0,445.0
147,446.0,448.0
148,449.0,451.0
149,452.0,454.0
150,455.0,457.0
